protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
PPTP,3.8539586067199707,66.215,60.7,81.0,5.732039340409309,0.0,3.926315789473684,,0.13111138343811035,3.1,47.13,4.1,47.13
L2TP,3.2092437744140625,69.34,61.3,89.8,6.445804837256553,0.0,8.599999999999998,,0.13302922248840332,3.5,47.15,2.8,47.18
PPTP,3.1617839336395264,66.07000000000001,60.8,82.0,5.208944230839873,0.0,5.410526315789474,,0.13210725784301758,3.1,47.18,3.0,47.18
L2TP,3.596295118331909,65.20000000000002,61.5,86.9,5.441231478259311,0.0,4.478947368421054,,0.13045787811279297,3.0,47.23,3.0,47.21
PPTP,4.083831071853638,65.71,62.2,77.1,3.991603687742559,0.0,3.5578947368421048,,0.12866950035095215,2.7,47.23,3.3,47.23
L2TP,4.068769931793213,68.01000000000002,61.5,115.0,11.704311171529916,0.0,10.047368421052633,,0.13449549674987793,3.3,47.31,3.1,47.28
PPTP,4.41675066947937,65.38,60.8,84.0,4.923372827645698,0.0,4.894736842105264,,0.1320650577545166,3.3,47.28,2.5,47.28
L2TP,3.7614707946777344,66.16999999999999,60.7,96.7,8.407918886383243,0.0,7.747368421052633,,0.13112902641296387,3.0,47.13,4.0,47.1
PPTP,4.786756992340088,67.20500000000001,61.8,78.1,5.068675862589756,0.0,6.678947368421054,,0.12912583351135254,3.3,47.13,3.0,47.13
L2TP,3.2549877166748047,67.565,61.7,89.8,6.5722351601262705,0.0,5.910526315789471,,0.12721824645996094,3.0,47.18,2.9,47.18
PPTP,3.143279552459717,66.285,61.5,79.1,4.248090747618274,0.0,4.105263157894736,,0.12949037551879883,4.2,47.21,2.8,47.21
L2TP,4.458729982376099,65.61500000000001,61.5,78.1,4.0615606606328045,0.0,4.663157894736839,,0.12719058990478516,3.1,47.23,2.2,47.21
PPTP,4.330264568328857,66.575,60.8,78.1,4.8392018970073964,0.0,3.1105263157894734,,0.12814640998840332,2.7,47.28,3.3,47.26
L2TP,3.134384870529175,65.73000000000002,61.5,76.2,4.05747458402391,0.0,3.247368421052633,,0.13114666938781738,3.5,47.31,2.9,47.31
PPTP,4.375518560409546,69.29,61.5,90.4,8.055861220254481,0.0,8.33157894736842,,0.12707877159118652,3.0,47.36,2.3,47.36
L2TP,4.815208196640015,64.80500000000002,61.5,74.6,2.929756815846666,0.0,2.478947368421054,,0.1311182975769043,2.3,47.13,3.3,47.13
PPTP,3.6447529792785645,67.7,61.5,83.8,6.905287828903295,0.0,7.605263157894734,,0.1418619155883789,2.8,47.18,3.7,47.18
